Grid_txt,Latitude,Longitude
895,39.2116,-78.0936
896,39.2112,-78.075
897,39.2107,-78.0564
898,39.2102,-78.0378
899,39.2098,-78.0191
900,39.2093,-78.0005
901,39.2088,-77.9819
902,39.2083,-77.9633
903,39.2078,-77.9447
904,39.2073,-77.9261
905,39.2038,-77.7958
906,39.2033,-77.7772
907,39.2028,-77.7586
908,39.2023,-77.74
909,39.2018,-77.7214
910,39.2012,-77.7027
911,39.2007,-77.6841
912,39.2002,-77.6655
913,39.1996,-77.6469
914,39.1991,-77.6283
915,39.1986,-77.6097
916,39.198,-77.5911
917,39.1975,-77.5725
918,39.1969,-77.5539
919,39.1964,-77.5353
920,39.2336,-78.4096
921,39.2332,-78.391
922,39.2328,-78.3724
923,39.2323,-78.3537
924,39.2319,-78.3351
925,39.2315,-78.3165
926,39.2311,-78.2979
927,39.2306,-78.2792
928,39.2302,-78.2606
929,39.2298,-78.242
930,39.2293,-78.2234
931,39.2289,-78.2047
932,39.2284,-78.1861
933,39.228,-78.1675
934,39.2275,-78.1489
935,39.2271,-78.1302
936,39.2266,-78.1116
937,39.2261,-78.093
938,39.2257,-78.0744
939,39.2252,-78.0558
940,39.2247,-78.0371
941,39.2242,-78.0185
942,39.2238,-77.9999
943,39.2233,-77.9813
944,39.2228,-77.9627
945,39.2183,-77.7951
946,39.2178,-77.7765
947,39.2173,-77.7579
948,39.2168,-77.7393
949,39.2162,-77.7207
950,39.2157,-77.7021
951,39.2152,-77.6835
952,39.2146,-77.6648
953,39.2141,-77.6462
954,39.2136,-77.6276
955,39.213,-77.609
956,39.2125,-77.5904
957,39.2119,-77.5718
958,39.2114,-77.5532
959,39.2108,-77.5346
960,39.2481,-78.4091
961,39.2477,-78.3905
962,39.2473,-78.3718
963,39.2468,-78.3532
964,39.2464,-78.3346
965,39.246,-78.3159
966,39.2456,-78.2973
967,39.2451,-78.2787
968,39.2447,-78.26
969,39.2442,-78.2414
970,39.2438,-78.2228
971,39.2434,-78.2042
972,39.2429,-78.1855
973,39.2425,-78.1669
974,39.242,-78.1483
975,39.2415,-78.1297
976,39.2411,-78.111
977,39.2406,-78.0924
978,39.2401,-78.0738
979,39.2397,-78.0552
980,39.2392,-78.0365
981,39.2387,-78.0179
982,39.2383,-77.9993
983,39.2378,-77.9807
984,39.2323,-77.7759
985,39.2318,-77.7572
986,39.2312,-77.7386
987,39.2307,-77.72
988,39.2302,-77.7014
989,39.2297,-77.6828
990,39.2291,-77.6642
991,39.2286,-77.6455
992,39.2281,-77.6269
993,39.2275,-77.6083
994,39.227,-77.5897
995,39.2264,-77.5711
996,39.2259,-77.5525
997,39.2253,-77.5339
998,39.263,-78.4272
999,39.2626,-78.4086
1000,39.2622,-78.3899
1001,39.2617,-78.3713
1002,39.2613,-78.3526
1003,39.2609,-78.334
1004,39.2605,-78.3154
1005,39.26,-78.2967
1006,39.2596,-78.2781
1007,39.2592,-78.2595
1008,39.2587,-78.2409
1009,39.2583,-78.2222
